V1,V2,V3,V4,V5,MID,condition,Consent,InstARate,ABase,AChoice1,AChoice2,AChoice3,AChoice4,AChoice5,AChoice6,AChoice7,AChoice8,AChoice9,AChoice10,InstBRate,BChoice1,BChoice2,BChoice3,BChoice4,BChoice5,BChoice6,BChoice7,BChoice8,BChoice9,BChoice10,BBase,InstOC,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,NoOCInst,NoOC1,NoOC2,NoOC3,NoOC4,NoOC5,NoOC6,NoOC7,NoOC8,NoOC9,NoOC10,CNoOC,COC,InstCRate,CBase,CChoice1,CChoice2,CChoice3,CChoice4,CChoice5,CChoice6,CChoice7,CChoice8,CChoice9,CChoice10,DNoOC,DOC,InstDRate,DChoice1,DChoice2,DChoice3,DChoice4,DChoice5,DChoice6,DChoice7,DChoice8,DChoice9,DChoice10,DBase,Check_See_README,Check100,CheckVisa,CheckGift,CheckCard,CheckRight,AttCheck,AttChoose3,sex,age
R_6mmrPdd5LrF3mn3,Default Response Set,1/24/15 10:48,1/24/15 10:49,1,1,No OC,1,1,6,5,1,1,7,7,6,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,1,,1,5,1,1,7,7,6,1,6,1,1,6,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,33
R_6KxsDzJjd0bIynr,Default Response Set,1/24/15 10:05,1/24/15 10:09,1,2,OC,1,1,7,7,5,3,7,7,7,5,7,7,7,,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,4,3,7,6,7,4,7,7,6,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,32
R_1B3Uu7ooHG6tOex,Default Response Set,1/24/15 10:29,1/24/15 10:32,1,3,No OC,1,1,7,6,6,1,7,6,5,5,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,2,1,1,1,,,,,,,,,,,,,,,1,,1,4,6,1,6,4,4,3,6,5,7,6,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,22
R_cY2J9e0kpz2Tuap,Default Response Set,1/24/15 11:35,1/24/15 11:37,1,4,No OC,1,,,,,,,,,,,,,1,6,6,4,5,3,5,3,5,4,5,7,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,1,,1,6,6,3,5,2,5,1,6,4,3,7,,TRUE,TRUE,TRUE,TRUE,1,1,6,1,19
R_eao7uFd833esc2V,Default Response Set,1/24/15 10:38,1/24/15 10:42,1,5,OC,1,1,6,7,6,7,6,4,5,2,6,6,5,,,,,,,,,,,,,1,1,2,1,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,6,7,7,5,5,3,6,6,4,5,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,26
R_1TTQjdTYm43mZZb,Default Response Set,1/24/15 11:25,1/24/15 11:29,1,6,No OC,1,,,,,,,,,,,,,1,6,7,6,7,6,7,2,6,3,7,7,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,1,,1,7,6,4,5,7,6,7,1,7,2,6,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,25
R_aXX3xUTyh6R51n7,Default Response Set,1/24/15 11:45,1/24/15 11:48,1,7,No OC,1,,,,,,,,,,,,,1,6,6,3,7,5,5,1,6,2,2,5,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,1,,1,6,5,3,7,5,4,1,6,1,3,5,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,34
R_0f6NvJJi63Z1GMl,Default Response Set,1/24/15 11:22,1/24/15 11:26,1,8,OC,1,,,,,,,,,,,,,1,6,6,4,7,5,7,2,5,4,6,7,1,2,2,2,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,7,6,4,1,6,2,5,7,,TRUE,TRUE,FALSE,TRUE,1,1,3,1,27
R_6muQCwcYLRDUFjT,Default Response Set,1/24/15 10:14,1/24/15 10:24,1,9,OC,1,,,,,,,,,,,,,1,7,7,7,7,7,7,2,7,7,7,7,1,1,1,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,5,7,5,7,2,7,7,5,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,62
R_9AHYAiaTlu1IvNX,Default Response Set,1/24/15 10:37,1/24/15 10:41,1,10,No OC,1,,,,,,,,,,,,,1,5,7,6,7,4,6,3,5,3,2,7,,,,,,,,,,,,1,2,1,2,1,2,1,2,1,2,2,1,,1,6,2,6,1,7,3,6,1,5,1,1,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,1,1,3,1,35
