HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,31HQ4X3T3SANP989HIPIPB4JXRISLF,,Approved,Thu Nov 30 22:30:05 PST 2017,Thu Nov 30 23:23:31 PST 2017,Sun Dec 03 23:23:31 PST 2017,2017-12-04 07:23:59 UTC,,,3206,100% (1/1),100% (1/1),100% (1/1),24257672,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,333U7HK6I9FBSU1RH7IGEX5RSZ3DJ4,,Approved,Thu Nov 30 22:30:03 PST 2017,Thu Nov 30 22:59:09 PST 2017,Sun Dec 03 22:59:09 PST 2017,2017-12-04 06:59:59 UTC,,,1746,100% (1/1),100% (1/1),100% (1/1),94851332,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,337RC3OW0523H1PDBDUN0YOQWVCVLN,,Approved,Thu Nov 30 22:30:13 PST 2017,Thu Nov 30 22:39:34 PST 2017,Sun Dec 03 22:39:34 PST 2017,2017-12-04 06:39:59 UTC,,,561,100% (1/1),100% (1/1),100% (1/1),52230350,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,35DR22AR5DKE5M4J5MR5SXRUCKTX3E,,Approved,Thu Nov 30 22:30:09 PST 2017,Thu Nov 30 22:41:43 PST 2017,Sun Dec 03 22:41:43 PST 2017,2017-12-04 06:41:59 UTC,,,694,100% (1/1),100% (1/1),100% (1/1),34781896,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,386CSBG1OZMTT8QP2AUB5S7LP88Q6G,,Approved,Thu Nov 30 22:30:06 PST 2017,Thu Nov 30 22:33:12 PST 2017,Sun Dec 03 22:33:12 PST 2017,2017-12-04 06:33:59 UTC,,,186,100% (1/1),100% (1/1),100% (1/1),99894111,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,38F5OAUN5NCZKF5R2UC92SFGTW07H4,,Approved,Thu Nov 30 22:47:33 PST 2017,Thu Nov 30 22:59:36 PST 2017,Sun Dec 03 22:59:36 PST 2017,2017-12-04 06:59:59 UTC,,,723,100% (1/1),100% (1/1),100% (1/1),49414706,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,3C2NJ6JBKAHK8AUWZGQRBLV44SJN29,,Approved,Thu Nov 30 22:30:13 PST 2017,Thu Nov 30 22:36:29 PST 2017,Sun Dec 03 22:36:29 PST 2017,2017-12-04 06:36:59 UTC,,,376,100% (6/6),100% (1/1),100% (1/1),69336543,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,3GNA64GUZE4XA4QBXRK6DMTLTDXQ50,,Approved,Thu Nov 30 22:30:05 PST 2017,Thu Nov 30 22:41:32 PST 2017,Sun Dec 03 22:41:32 PST 2017,2017-12-04 06:41:59 UTC,,,687,100% (1/1),100% (1/1),100% (1/1),54499511,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,3JAOYWH7VI45KUCA8CPR8GZT53TL9X,,Approved,Thu Nov 30 22:30:14 PST 2017,Thu Nov 30 22:33:19 PST 2017,Sun Dec 03 22:33:19 PST 2017,2017-12-04 06:33:59 UTC,,,185,100% (1/1),100% (1/1),100% (1/1),44707819,,
324N5FAHSXBPAB920ADLWEFM25RVK0,34A9VSEXPD1GSBZ08HETOXJ37D99JW,Stanford Psych Experiment on Preferences,Stanford Psych Experiment on Preferences,preferences,$0.60 ,Thu Nov 30 22:29:45 PST 2017,19,BatchId:3031606;OriginalHitTemplateId:920937340;,3600,259200,Thu Dec 07 22:29:45 PST 2017,,,3MHW492WW0DNNJ7YBPV20B3FW02VMP,,Approved,Thu Nov 30 22:30:14 PST 2017,Thu Nov 30 23:29:34 PST 2017,Sun Dec 03 23:29:34 PST 2017,2017-12-04 07:29:59 UTC,,,3560,100% (1/1),100% (1/1),100% (1/1),12627432,,
